Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.38-17.248.255.133-56786-443-6,192.168.1.38,56786,17.248.255.133,443,6,24-11-2022 20:14,3033601,13,20,3081,9893,1214,0,237,373.4436593,1448,0,494.65,608.8003108,4276.765468,10.87816097,94800.03125,400182.6434,2256676,1,3027619,252301.5833,638969.8941,2256676,4,775362,40808.52632,86271.17834,334170,1,0,0,0,0,416,660,4.28533614,6.592824831,0,1448,381.5882353,533.3906475,284505.5829,0,1,0,0,0,0,0,0,1,393.1515152,237,494.65,0,0,0,0,0,0,13,3081,20,9893,-1,501,8,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-17.248.255.133-56786-443-6,17.248.255.133,443,192.168.1.38,56786,6,24-11-2022 20:14,1595,1,1,0,0,0,0,0,0,0,0,0,0,0,1253.918495,1595,0,1595,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,626.9592476,626.9592476,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,501,0,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.254-192.168.1.38-53-56789-6,192.168.1.38,56789,192.168.1.254,53,6,24-11-2022 20:14,300251,4,4,40,520,40,0,10,20,520,0,130,260,1865.106194,26.64437421,42893,109187.6196,290484,339,295861,98620.33333,170131.2771,295071,339,299175,99725,165204.4229,290484,3477,0,0,0,0,80,116,13.3221871,13.3221871,0,520,62.22222222,172.1756209,29644.44444,0,1,0,0,0,0,0,0,1,70,10,130,0,0,0,0,0,0,4,40,4,520,-1,229,1,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-74.125.193.147-63829-443-6,192.168.1.38,63829,74.125.193.147,443,6,24-11-2022 20:14,10050021,4,6,839,375,765,0,209.75,371.8067374,375,0,62.5,153.0931089,120.7957675,0.995022796,1116669,3321251.611,9973281,2,25259,8419.666667,13752.51109,24299,351,1.01E+07,2010004.2,4451621.332,9973281,2,0,0,0,0,128,212,0.398009119,0.597013678,0,765,110.3636364,244.4063308,59734.45455,0,1,0,0,0,0,0,0,1,121.4,209.75,62.5,0,0,0,0,0,0,4,839,6,375,-1,262,2,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-74.125.193.147-63829-443-6,192.168.1.38,63829,74.125.193.147,443,6,24-11-2022 20:14,19291942,1,1,0,0,0,0,0,0,0,0,0,0,0,0.103670227,1.93E+07,0,1.93E+07,1.93E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.051835113,0.051835113,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2050,0,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-49.44.126.250-56790-443-6,192.168.1.38,56790,49.44.126.250,443,6,24-11-2022 20:14,36760055,443,9747,3862,1.41E+07,542,0,8.717832957,67.34885423,1448,0,1445.492254,55.11753403,383380.1391,277.2030673,3607.817745,275578.8145,2.78E+07,0,8813474,19939.98643,62233.70963,546817,3,3.68E+07,3771.80946,281778.0478,2.78E+07,0,0,0,0,0,16048,311924,12.05112452,265.1519428,0,1448,1382.89422,298.5510646,89132.73817,0,1,0,0,0,0,0,0,22,1383.029931,8.717832957,1445.492254,0,0,0,0,0,0,443,3862,9747,14089213,-1,18,8,0,8975840,0,8975840,8975840,2.78E+07,0,2.78E+07,2.78E+07,Normal Traffic
192.168.1.38-49.44.126.250-56790-443-6,192.168.1.38,56790,49.44.126.250,443,6,24-11-2022 20:15,1083,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,28624.19206,2770.083102,541.5,48.7903679,576,507,507,507,0,507,507,0,0,0,0,0,0,0,0,0,64,32,1846.722068,923.3610342,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,48903,1,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-49.44.126.240-56791-443-6,192.168.1.38,56791,49.44.126.240,443,6,24-11-2022 20:15,501276,5,8,610,5553,517,0,122,224.4537814,1448,0,694.125,744.0926282,12294.62412,25.9338169,41773,74483.19367,169915,1,331936,82984,95813.47686,174511,9,343449,49064.14286,82379.59834,170611,1,0,0,0,0,160,276,9.974544961,15.95927194,0,1448,440.2142857,638.0915269,407160.7967,0,1,0,0,0,0,0,0,1,474.0769231,122,694.125,0,0,0,0,0,0,5,610,8,5553,-1,18,2,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-49.44.126.240-56791-443-6,49.44.126.240,443,192.168.1.38,56791,6,24-11-2022 20:15,155581,2,2,51,0,51,0,25.5,36.06244584,0,0,0,0,327.8035236,25.71008028,51860.33333,89716.50013,155456,1,155580,155580,0,155580,155580,125,125,0,125,125,0,0,0,0,64,52,12.85504014,12.85504014,0,51,10.2,22.80789337,520.2,0,0,0,0,1,0,0,0,1,12.75,25.5,0,0,0,0,0,0,0,2,51,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-192.168.1.39-7000-51745-6,192.168.1.39,51745,192.168.1.38,7000,6,24-11-2022 20:15,38530,4,5,41,1750,41,0,10.25,20.5,1448,0,350,627.5762902,46483.2598,233.5842201,4816.25,9160.414163,26651,0,32380,10793.33333,18693.7357,32379,0,32991,8247.75,12537.03998,26651,71,0,0,0,0,128,184,103.8152089,129.7690112,0,1448,179.1,455.6827478,207646.7667,0,1,0,0,0,0,0,0,1,199,10.25,350,0,0,0,0,0,0,4,41,5,1750,-1,2058,1,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-192.168.1.39-7000-51745-6,192.168.1.38,7000,192.168.1.39,51745,6,24-11-2022 20:15,107,1,1,0,0,0,0,0,0,0,0,0,0,0,18691.58879,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9345.794393,9345.794393,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2058,0,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-49.44.126.242-56792-443-6,192.168.1.38,56792,49.44.126.242,443,6,24-11-2022 20:15,37960425,531,13121,4946,1.90E+07,542,0,9.314500942,69.77024935,1448,0,1446.201204,48.12513606,500008.9435,359.6377016,2780.779796,249841.8308,2.92E+07,0,8627740,16278.75472,43732.08607,171710,8,3.80E+07,2893.325076,254853.8727,2.92E+07,0,0,0,0,0,17776,419892,13.98825224,345.6494494,0,1448,1390.211089,282.3791193,79737.96701,0,1,0,0,0,0,0,0,24,1390.312921,9.314500942,1446.201204,0,0,0,0,0,0,531,4946,13121,18975606,-1,18,10,0,8788810,0,8788810,8788810,2.92E+07,0,2.92E+07,2.92E+07,Normal Traffic
192.168.1.38-49.44.126.242-56792-443-6,192.168.1.38,56792,49.44.126.242,443,6,24-11-2022 20:15,1375,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,22545.45455,2181.818182,687.5,50.20458146,723,652,723,723,0,723,723,0,0,0,0,0,0,0,0,0,64,32,1454.545455,727.2727273,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,48406,1,0,0,0,0,0,0,0,0,0,Normal Traffic
192.168.1.38-74.125.193.95-63819-443-6,192.168.1.38,63819,74.125.193.95,443,6,24-11-2022 20:14,72714122,2,3,0,0,0,0,0,0,0,0,0,0,0,0.068762434,1.82E+07,2.21E+07,4.50E+07,29550,2.77E+07,2.77E+07,0,2.77E+07,2.77E+07,4.51E+07,2.25E+07,3.18E+07,4.50E+07,43832,0,0,0,0,52,84,0.027504974,0.04125746,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,-1,263,0,0,43832,0,43832,43832,4.50E+07,0,4.50E+07,4.50E+07,Normal Traffic
192.168.1.38-74.125.193.95-63815-443-6,192.168.1.38,63815,74.125.193.95,443,6,24-11-2022 20:14,73207249,2,3,0,0,0,0,0,0,0,0,0,0,0,0.068299247,1.83E+07,2.22E+07,4.50E+07,27424,2.82E+07,2.82E+07,0,2.82E+07,2.82E+07,4.51E+07,2.25E+07,3.18E+07,4.50E+07,27424,0,0,0,0,52,84,0.027319699,0.040979548,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,-1,263,0,0,27424,0,27424,27424,4.50E+07,0,4.50E+07,4.50E+07,Normal Traffic
192.168.1.38-74.125.193.94-63834-443-6,192.168.1.38,63834,74.125.193.94,443,6,24-11-2022 20:14,63828077,7,6,841,1334,767,0,120.1428571,286.5672862,958,0,222.3333333,390.5246044,34.07591302,0.203672124,5319006.417,1.36E+07,4.50E+07,1,6.38E+07,1.06E+07,1.84E+07,4.50E+07,472,4.51E+07,9019239,2.01E+07,4.50E+07,1,0,0,0,0,212,212,0.109669605,0.094002519,0,958,155.3571429,318.0473132,101154.0934,0,1,0,0,0,0,0,0,0,167.3076923,120.1428571,222.3333333,0,0,0,0,0,0,7,841,6,1334,-1,262,2,0,68842,0,68842,68842,4.50E+07,0,4.50E+07,4.50E+07,Normal Traffic
